Variant,Score,ScoreDiff,Probability,Generation
A,1,0.15,0.259725641869,37632
C,1.25,0.0,0.364198927758,37633
C,1.25,-0.1,0.0422072504131,37634
C,1.25,-0.25,0.00656082462135,37635
C,1.25,-0.1,0.0422072504131,37636
C,1.25,-0.1,0.0422072504131,37637
C,1.25,-0.25,0.00656082462135,37638
C,1.25,-0.25,0.00656082462135,37639
C,1.25,-0.25,0.00656082462135,37640
C,1.25,-0.1,0.0422072504131,37641
C,1.25,-0.1,0.0422072504131,37642
C,1.25,-0.1,0.0422072504131,37643
C,1.25,-0.25,0.00656082462135,37644
C,1.25,-0.25,0.00656082462135,37645
C,1.25,-0.1,0.0422072504131,37646
C,1.25,-0.1,0.0422072504131,37647
C,1.25,-0.25,0.00656082462135,37648
C,1.25,-0.1,0.0422072504131,37649
C,1.25,-0.1,0.0422072504131,37650
C,1.25,-0.25,0.00656082462135,37651
C,1.25,-0.25,0.00656082462135,37652
C,1.25,-0.25,0.00656082462135,37653
C,1.25,-0.25,0.00656082462135,37654
C,1.25,-0.1,0.0422072504131,37655
C,1.25,-0.25,0.00656082462135,37656
C,1.25,-0.25,0.00656082462135,37657
C,1.25,-0.25,0.00656082462135,37658
C,1.25,-0.1,0.0422072504131,37659
C,1.25,-0.1,0.0422072504131,37660
C,1.25,-0.1,0.0422072504131,37661
B,1.15,0.0,0.0422072504131,37662
B,1.15,0.1,0.18932421675,37663
B,1.15,-0.15,0.0209871613723,37664
C,1.25,0.0,0.18932421675,37665
C,1.25,-0.25,0.00656082462135,37666
C,1.25,-0.1,0.0422072504131,37667
C,1.25,-0.25,0.00656082462135,37668
C,1.25,-0.25,0.00656082462135,37669
C,1.25,-0.1,0.0422072504131,37670
C,1.25,-0.1,0.0422072504131,37671
C,1.25,-0.25,0.00656082462135,37672
C,1.25,-0.1,0.0422072504131,37673
C,1.25,-0.25,0.00656082462135,37674
C,1.25,-0.25,0.00656082462135,37675
C,1.25,-0.1,0.0422072504131,37676
C,1.25,-0.1,0.0422072504131,37677
C,1.25,-0.25,0.00656082462135,37678
C,1.25,-0.1,0.0422072504131,37679
C,1.25,-0.25,0.00656082462135,37680
C,1.25,-0.1,0.0422072504131,37681
C,1.25,-0.25,0.00656082462135,37682
C,1.25,-0.1,0.0422072504131,37683
C,1.25,-0.1,0.0422072504131,37684
C,1.25,-0.25,0.00656082462135,37685
C,1.25,-0.1,0.0422072504131,37686
C,1.25,-0.25,0.00656082462135,37687
C,1.25,-0.1,0.0422072504131,37688
C,1.25,-0.25,0.00656082462135,37689
C,1.25,-0.1,0.0422072504131,37690
C,1.25,-0.25,0.00656082462135,37691
C,1.25,-0.25,0.00656082462135,37692
C,1.25,-0.25,0.00656082462135,37693
C,1.25,-0.25,0.00656082462135,37694
C,1.25,-0.1,0.0422072504131,37695
C,1.25,-0.25,0.00656082462135,37696
C,1.25,-0.25,0.00656082462135,37697
C,1.25,-0.25,0.00656082462135,37698
C,1.25,-0.1,0.0422072504131,37699
C,1.25,-0.1,0.0422072504131,37700
B,1.15,0.0,0.0422072504131,37701
B,1.15,-0.15,0.0209871613723,37702
A,1,0,0.0209871613723,37703
A,1,0.25,0.364198927758,37704
C,1.25,0.0,0.364198927758,37705
C,1.25,-0.25,0.00656082462135,37706
C,1.25,-0.25,0.00656082462135,37707
C,1.25,-0.1,0.0422072504131,37708
C,1.25,-0.25,0.00656082462135,37709
C,1.25,-0.1,0.0422072504131,37710
C,1.25,-0.25,0.00656082462135,37711
C,1.25,-0.25,0.00656082462135,37712
C,1.25,-0.25,0.00656082462135,37713
C,1.25,-0.1,0.0422072504131,37714
C,1.25,-0.1,0.0422072504131,37715
C,1.25,-0.1,0.0422072504131,37716
C,1.25,-0.1,0.0422072504131,37717
C,1.25,-0.1,0.0422072504131,37718
C,1.25,-0.1,0.0422072504131,37719
C,1.25,-0.25,0.00656082462135,37720
C,1.25,-0.25,0.00656082462135,37721
C,1.25,-0.1,0.0422072504131,37722
C,1.25,-0.25,0.00656082462135,37723
C,1.25,-0.25,0.00656082462135,37724
A,1,0,0.00656082462135,37725
A,1,0.25,0.364198927758,37726
A,1,0.25,0.364198927758,37727
A,1,0.15,0.259725641869,37728
A,1,0.25,0.364198927758,37729
A,1,0.15,0.259725641869,37730
C,1.25,0.0,0.364198927758,37731
C,1.25,-0.1,0.0422072504131,37732
C,1.25,-0.25,0.00656082462135,37733
C,1.25,-0.25,0.00656082462135,37734
C,1.25,-0.1,0.0422072504131,37735
C,1.25,-0.1,0.0422072504131,37736
C,1.25,-0.25,0.00656082462135,37737
C,1.25,-0.1,0.0422072504131,37738
C,1.25,-0.25,0.00656082462135,37739
C,1.25,-0.1,0.0422072504131,37740
C,1.25,-0.1,0.0422072504131,37741
C,1.25,-0.25,0.00656082462135,37742
C,1.25,-0.1,0.0422072504131,37743
C,1.25,-0.1,0.0422072504131,37744
C,1.25,-0.1,0.0422072504131,37745
C,1.25,-0.1,0.0422072504131,37746
C,1.25,-0.1,0.0422072504131,37747
C,1.25,-0.25,0.00656082462135,37748
C,1.25,-0.1,0.0422072504131,37749
C,1.25,-0.25,0.00656082462135,37750
C,1.25,-0.25,0.00656082462135,37751
C,1.25,-0.25,0.00656082462135,37752
C,1.25,-0.25,0.00656082462135,37753
C,1.25,-0.1,0.0422072504131,37754
C,1.25,-0.25,0.00656082462135,37755
C,1.25,-0.25,0.00656082462135,37756
C,1.25,-0.25,0.00656082462135,37757
C,1.25,-0.1,0.0422072504131,37758
C,1.25,-0.25,0.00656082462135,37759
C,1.25,-0.25,0.00656082462135,37760
B,1.15,0.0,0.0422072504131,37761
B,1.15,-0.15,0.0209871613723,37762
B,1.15,-0.15,0.0209871613723,37763
B,1.15,0.1,0.18932421675,37764
B,1.15,-0.15,0.0209871613723,37765
B,1.15,0.1,0.18932421675,37766
B,1.15,0.1,0.18932421675,37767
B,1.15,-0.15,0.0209871613723,37768
B,1.15,-0.15,0.0209871613723,37769
B,1.15,-0.15,0.0209871613723,37770
B,1.15,-0.15,0.0209871613723,37771
B,1.15,-0.15,0.0209871613723,37772
B,1.15,-0.15,0.0209871613723,37773
B,1.15,-0.15,0.0209871613723,37774
B,1.15,-0.15,0.0209871613723,37775
B,1.15,0.1,0.18932421675,37776
B,1.15,0.1,0.18932421675,37777
B,1.15,0.1,0.18932421675,37778
B,1.15,0.1,0.18932421675,37779
B,1.15,-0.15,0.0209871613723,37780
B,1.15,-0.15,0.0209871613723,37781
B,1.15,-0.15,0.0209871613723,37782
B,1.15,-0.15,0.0209871613723,37783
A,1,0,0.0209871613723,37784
C,1.25,0.0,0.364198927758,37785
C,1.25,-0.25,0.00656082462135,37786
C,1.25,-0.25,0.00656082462135,37787
C,1.25,-0.1,0.0422072504131,37788
C,1.25,-0.25,0.00656082462135,37789
C,1.25,-0.25,0.00656082462135,37790
C,1.25,-0.25,0.00656082462135,37791
C,1.25,-0.1,0.0422072504131,37792
C,1.25,-0.25,0.00656082462135,37793
C,1.25,-0.1,0.0422072504131,37794
C,1.25,-0.25,0.00656082462135,37795
C,1.25,-0.1,0.0422072504131,37796
C,1.25,-0.25,0.00656082462135,37797
C,1.25,-0.25,0.00656082462135,37798
C,1.25,-0.25,0.00656082462135,37799
C,1.25,-0.25,0.00656082462135,37800
C,1.25,-0.1,0.0422072504131,37801
C,1.25,-0.1,0.0422072504131,37802
C,1.25,-0.25,0.00656082462135,37803
C,1.25,-0.1,0.0422072504131,37804
C,1.25,-0.1,0.0422072504131,37805
C,1.25,-0.25,0.00656082462135,37806
